rts_id,qc_verdict
325,false
340,false
344,false
486,false
581,rts
1120,unsure
1149,false
1214,false
1262,rts
1279,false
1315,rts
1374,unsure
1448,rts
1783,rts
1801,unsure
2126,rts
2596,rts
2647,rts
2677,rts
2977,rts
3142,unsure
3722,unsure
3806,unsure
4557,rts
4852,rts
5462,false
5570,unsure
5718,unsure
5872,rts
6717,rts
6868,rts
6889,unsure
6906,false
7343,unsure
7404,false
7530,unsure
7701,unsure
8681,false
8802,unsure
9347,rts
9477,rts
9512,unsure
9515,unsure
9882,false
10095,false
10098,rts
10102,rts
10106,false
10145,false
10292,false
10661,unsure
10677,unsure
10842,false
11178,unsure
11238,rts
11286,false
11423,rts
11458,rts
11691,false
11827,false
11863,unsure
12037,false
12204,unsure
12323,rts
12760,rts
13279,false
13591,false
13608,rts
14258,rts
14346,false
14390,unsure
14483,unsure
14697,rts
14834,unsure
14902,unsure
15018,false
15059,false
15076,false
15194,unsure
15290,false
15430,unsure
15604,false
16051,unsure
16562,unsure
16564,rts
16567,rts
16595,unsure
17065,unsure
17446,false
17456,unsure
18266,unsure
18484,unsure
18669,false
19214,unsure
19351,false
19475,rts
19502,rts
19850,rts
21764,false
21785,false
21823,false
22039,false
22194,false
22309,false
22637,false
22824,false
23233,false
23349,false
23488,false
23799,unsure
24014,false
24223,false
24495,false
24816,false
24992,rts
25048,rts
25090,unsure
25160,rts
25259,unsure
26038,rts
26275,rts
26452,unsure
26597,rts
26746,unsure
27082,rts
27141,rts
27271,rts
27352,rts
27571,rts
27807,rts
27854,rts
27892,false
28074,rts
28270,unsure
28469,rts
29024,false
29989,false
30018,false
30186,unsure
30248,unsure
30772,unsure
31886,rts
31925,unsure
32192,rts
32230,rts
32278,unsure
32360,false
32630,false
32946,rts
33089,false
33102,false
33525,false
33531,false
33540,false
34320,false
34382,false
34401,unsure
34696,false
34716,false
35533,false
36362,false
36512,false
36527,false
36750,unsure
36758,false
36852,false
37103,false
37292,false
37561,false
37942,false
38040,false
38285,false
38350,rts
38730,rts
38823,unsure
38837,false
39239,false
39356,false
39737,rts
39772,rts
39836,rts
39947,false
39972,false
40047,false
40445,false
40588,false
40635,false
40664,unsure
40827,false
40854,rts
40856,rts
41248,unsure
41428,unsure
42066,unsure
42591,rts
42761,unsure
43310,false
43769,false
43997,false
44005,false
44121,false
44616,false
44660,false
44944,false
45270,unsure
45659,rts
46227,false
46529,false
46691,false
46721,rts
46774,false
46896,unsure
46919,false
46947,false
47454,false
48637,false
48642,false
48725,false
48758,false
48820,false
48954,false
49157,false
49164,rts
49183,rts
49276,unsure
49406,false
49909,false
49913,unsure
50202,false
50219,false
50244,false
50525,unsure
50738,false
50880,unsure
50977,false
50986,false
51024,false
51061,false
51206,false
51476,rts
51768,rts
51860,false
52076,false
52087,false
52151,false
52589,false
52624,false
52695,unsure
52718,false
52930,false
53011,false
53081,false
53492,false
53541,false
53640,false
53850,false
54161,false
54340,false
54401,false
54540,false
54860,false
54866,unsure
55310,unsure
55511,false
55744,false
55852,false
56494,false
57023,false
57044,false
57777,false
57835,false
57855,false
57858,false
58274,false
58617,false
58629,false
58753,false
58869,false
59379,unsure
59728,false
